Title,Summary,Date
ISQI مقام برترین شرکت خدماتی کشور را کسب کرد,شرکت بازرسی کیفیت و استاندارد ایران، براساس ارزیابی سازمان ملی استاندارد ایران، با جهش دو پله‌ای در جایزه ملی کیفیت مفتخر به کسب مقام برترین شرکت خدماتی، دومین شرکت بین کل مجموعه‌های تولیدی و خدماتی کشور و دریافت جایزه اشتهار 4 ستاره شد.,1403/08/21
افتتاح مرکز تجاری ایران در بلاروس,در دیدار رئیس کل سازمان توسعه تجارت ایران با سفیر بلاروس در زمینه توسعه همکاری‌های تجاری و اقتصادی و جزییات برگزاری کمیسیون مشترک اقتصادی بحث و تبادل نظر شد.,1403/08/21
تمرکز «فولاد سنگان» بر افزایش تولید گندله/ از تولید گندله با کیفیت تا افزایش فروش در ۷ ماه اول ۱۴۰۳,عملکرد ۷ ماهه فولاد سنگان نشان می‌دهد این مجموعه تمرکز ویژه بر تولید گندله با کیفیت و افزایش فروش این مجموعه داشته است. این موضوع می‌تواند در تامین مواد اولیه برای فولاد مبارکه نیز اثر گذار باشد. تمرکز بر تولید با کیفیت توانسته میزان فروش گندله در این مجموعه را ۴۳ درصد افزایش دهد.,1403/08/21
مدیر روابط عمومی اتاق ایران منصوب شد,با حکم دبیرکل اتاق بازرگانی، صنایع، معادن و کشاورزی ایران، نیما شایان به عنوان مدیر روابط عمومی اتاق ایران منصوب شد.,1403/08/21
تحریم‌‌ها عامل اصلی مشکلات اقتصادی در کشور / هیچ کشوری بدون تعامل با دنیا توسعه نیافته است,عضو هیات نمایندگان اتاق بازرگانی تهران بیان کرد: خیلی‌ها تاثیر تحریم‌ها را نفی می‌کنند و می‌گویند که تحریم‌ها اثر نداشته است، اما عملا بیشترین مسائل اقتصادی ما بخاطر وجود تحریم‌ها است، مطمئن هستم اگر تحریم‌ها برداشته شود، شرایط اقتصادی ما می‌تواند به سرعت بهبود پیدا کند. ,1403/08/21
شیوه رفع تعهد ارزی صادرات از محل ورود موقت، غیراجرایی است,در نشست اخیر کارگروه شورای گفت‌وگو عملیاتی نشدن سامانه دریافت اطلاعات آنلاین فعالان اقتصادی برای رفع تعهدات ارزی صادرات از محل ورود موقت مورد انتقاد قرار گرفت.,1403/08/20
عرضه خودرو در بورس راه‌حلی جامع‌ برای حل مشکل بازار خودرو نیست,رئیس هیات عامل سازمان گسترش و نوسازی صنایع ایران با بیان اینکه عرضه خودرو در بورس کالا فاقد وجاهت قانونی است، افزود: عرضه خودرو در بورس کالا راه‌حلی جامع برای حل مشکل بازار خودرو نیست.,1403/08/20
امین صفری سکان مدیریت ارفع را به‌ دست گرفت,مراسم معارفه امین صفری، مدیرعامل جدید شرکت آهن و فولاد ارفع و تکریم مهری‌نژاد، مدیرعامل پیشین این شرکت صبح امروز برگزار شد.,1403/08/20
تدوین یک نقشه راه برای جذب سرمایه‌گذاری ضروری است,نایب‌رئیس اتاق بازرگانی، صنایع، معادن و کشاورزی ایران، فرصت‌های سرمایه‌گذاری در بخش‌های مختلف کشور را پرتعداد دانست و گفت: سرمایه‌گذاری به یک نقشه راه نیاز دارد و در کنار آن باید شاخص‌های اقتصادی، سیاسی و حقوقی را مهیا کرد.,1403/08/20
امکان رشد مبادلات تجاری، صنعتی و فناوری ایران و چین,رئیس کل سازمان توسعه تجارت ایران تاکید کرد: تعامل با اقتصاد چین به‌عنوان یکی از بزرگ‌ترین بازارهای مصرف در جهان، فرصت‌های گسترده‌ای را برای شرکت‌های ایرانی فراهم می‌کند تا محصولات و خدمات خود را در این بازار عرضه و مهم‌تر اینکه در زنجیره تامین جهانی که چین یکی از رهبران آن است، ادغام شوند.,1403/08/20
معاون مالی اقتصادی فولاد سنگان مطرح کرد:شرکت فولاد سنگان پیشرو در همکاری با شرکت‌های پیشران,به گزارش روابط عمومی، محمد زمانیان معاون مالی اقتصادی فولاد سنگان به بررسی میزان پیشرفت توسعه در کشور پرداخت و گفت: توسعه در هر کشوری ارتباط مستقیم با پیشرفت اقتصادی دارد. توسعه امری بلند مدت است و کشورها برای دستیابی به توسعه باید برنامه بلند مدت بیست ساله داشته باشند، که لازمه رسیدن به هدف نهایی تدوین برنامه‌های کوتاه مدت است.,1403/08/20
الزام به اخذ شناسه صنفی برای دریافت دستگاه کارتخوان,سخنگو و عضو هیأت رئیسه اتاق اصناف ایران با اشاره به تبعات فعالیت واحدهای صنفی بدون مجوز، از مکاتبه و درخواست اتاق اصناف ایران از بانک مرکزی درباره منوط شدن ارائه دستگاه کارتخوان به اخذ شناسه صنفی خبر داد.,1403/08/19
امین صفری به مدیرعاملی شرکت آهن و فولاد ارفع منصوب شد,امین صفری که پیش‌تر در سمت معاون توسعه معادن و صنایع معدنی شرکت سرمایه‌گذاری توسعه معادن و فلزات، به موفقیت‌های قابل‌توجهی در این معاونت از هلدینگ «ومعادن» دست یافته بود، به سمت مدیرعامل شرکت آهن و فولاد ارفع منصوب شد.,1403/08/19
تاثیر همه‌جانبه راهبردهای فولاد سنگان در خصوص توسعه ظرفیت‌های دانشی,دانش و توسعه ظرفیت‌های آن همواره نقطه عطف تحولات رو به جلوی جهان بوده‌اند. از طرفی، در فضای پررقابت حال حاضر کسب‌و‌کارها این مسئله به ضرورتی اجتناب‌ناپذیر تبدیل شده است که می‌تواند بقا و یا حذف کسب‌و‌کارها از میدان رقابت را به همراه داشته باشد. بخش معدن و صنایع معدنی نیز از این قاعده مستثنی نیست و به نوعی با توسعه روزافزون دانش عجین شده است. در این میان، شرکت فولاد سنگان خراسان که نقش‌آفرین تعیین‌کننده‌ای در حوزه بالادست زنجیره فولاد کشور به حساب می‌آید، رویکردهای مختلفی را با هدف توسعه ظرفیت‌های دانشی در این شرکت اتخاذ کرده که دستاوردهای قابل توجهی را نیز برای آن به همراه داشته است.,1403/08/19
جهاد خودکفایی صنعتی فولادسنگان، این بار بومی سازی لاینر هندلر هفت محوره در کشور,شرکت صنایع معدنی فولاد سنگان با بومی‌سازی دستگاه لاینرهندلر هفت محوره در کشور، موفق به صرفه‌جویی 2.5 میلیون یورویی در کشور شد. این اقدام به کاهش وابستگی به واردات و تقویت تولید انجامیده و همزمان نقشی اساسی در توسعه زیرساخت‌های صنعتی و بهبود بهره‌وری در صنعت فولاد و تولید کنسانتره کشور ایفا می‌کند.,1403/08/19
قوانین واردات ۱۴۰۳: از پیچ و خم‌های گمرک عبور کنید,تصور کنید یک کالا از آن سوی مرزها راهی ایران می‌شود؛ این کالا چه یک قطعه کوچک الکترونیکی باشد یا یک ماشین‌آلات صنعتی بزرگ، باید از هزارتوی قوانین و مقررات تجاری و گمرکی عبور کند تا به دست مصرف‌کننده برسد.,1403/08/19
محاسبه گمرکی آیفون ۱۶ اعلام شد,گمرک ایران، محاسبات گمرکی گوشی تلفن همراه اپل ۱۶ و حقوق ورودی ۱۵ و ۳۰ درصد و مالیات و سایر موارد پرداختی در رویه تجاری بر اساس نرخ ارز ETS (۲۸۵۰۰۰ ریال) و محاسبه قیمت تمام شده را اعلام کرد.,1403/08/18
تحلیل تکنیکال و بنیادی پتروشیمی فناوران / سهم شفن برای خرید مناسب است؟,پتروشیمی فناوران یکی از بزرگترین شرکت‌های صنعت پتروشیمی است که در حوزه تولید متانول و اسید استیک‌ فعال است. شرکت، رتبه اول شرکت‌های پتروشیمی بورسی را در شش ماهه نخست سال ۱۴۰۳ کسب کرده است و با گزارش پربار مهرماه به سبد بررسی سهام افزوده شده است.,1403/08/18
کسری تراز تجاری ۶.۸ میلیارد دلاری در ۶ ماهه امسال / چین، امارات و ترکیه، شرکای اول تجاری ایران,طبق داده‌های گمرک، در شش ماه ابتدایی سال ۱۴۰۳ بیشترین حجم تجارت ایران با کشور‌های چین، امارات متحده عربی و ترکیه بوده است. کشور‌های چین، عراق و امارات متحده عربی به ترتیب مقاصد اصلی صادراتی ایران در بازه زمانی مذکور بوده‌اند. از سوی دیگر، کشور‌های امارات متحده عربی، چین، و ترکیه به ترتیب مبدأ‌های اصلی واردات ایران در سال ۱۴۰۳ بوده‌اند. همچنین تراز تجاری ایران در شش ماه ابتدایی سال ۱۴۰۳ به منفی ۶ میلیارد و ۸۱۵ میلیون دلار رسیده است.,1403/08/18
گام اول برای بالندگی صادرات، تنش‌زدایی سیاسی است,رئیس اتاق بازرگانی، صنایع، معادن و کشاورزی ایران با بیان اینکه «حدود 70 میلیارد دلار از هدفگذاری سند چشم‌انداز 20 ساله در زمینه صادرات غیرنفتی عقب هستیم»، گفت: برای رفع این کاستی‌ها و بازگشت به دوران طلایی رشد و بالندگی صادرات غیرنفتی باید در گام نخست، تنش‌زدایی سیاسی در دستور کار حاکمیت قرار گیرد و تعامل و همکاری با دنیا و عضویت در زنجیره‌های ارزش جهانی حاکم بر سیاست‌ها شود.,1403/08/17
تحریم و FATF، مانع استفاده ایران از تجهیزات سایر کشورها / تأمین مالی و پیمان‌سپاری ارزی، مهم‌ترین چالش‌‌های اقتصاد کشور,نایب رئیس اتاق بازرگانی ایران بیان کرد: چالش اصلی ما نه تنها در حوزه مس که در تمام حوزه‌ها بحث تأمین مالی و تأمین نیازهای ارزی، رفع تعهدات ارزی، وضع قوانین متعدد در حوزه تجارت و مهم‌تر از همه بحث تحریم‌ها است. ,1403/08/17
ترخیص دومین محموله ۲ هزار و ۴۰۰ تنی برنج وارداتی توقیف شده با ورود دستگاه قضایی,رئیس کل دادگستری هرمزگان گفت: با ورود دستگاه قضایی دومین محموله ۲ هزار و ۴۰۰ تنی برنج وارداتی توقیف شده در بندر شهید رجایی ترخیص و روانه بازار مصرف شد.,1403/08/17
استفاده از هوش مصنوعی در اولین فروشگاه حضوری بانی‌مد,بانی‌مد اولین فروشگاه فیزیکی خود را ۱۵ آبان‌ماه افتتاح کرد,1403/08/16
آغاز عملیات آماده‌سازی نیروگاه خورشیدی کرمانشاه/ «ومعادن» در مسیر تأمین انرژی سبز و پایدار,عملیات آماده‌سازی نیروگاه خورشیدی ۹۰ مگاواتی پویای کرمانشاه، روز سه‌شنبه ۱۵ آبان‌ماه ۱۴۰۳، در محل شهرک صنعتی زاگرس آغاز شد. این پروژه به‌عنوان نخستین گام برای ایجاد یکی از بزرگترین مزرعه‌های خورشیدی غرب کشور، در راستای کاهش ناترازی و تأمین برق پایدار منطقه، وارد مرحله اجرایی شد.,1403/08/16
تحولی شگرف در غرب کشور با راه‌اندازی کارخانه گندله‌سازی صبا امید,معاون امور معادن و صنایع معدنی هلدینگ ومعادن گفت: با تکمیل تجهیزات پروژه گندله‌سازی شرکت صبا امید غرب خاورمیانه و نصب آن‌ها تا پایان سال جاری و راه‌اندازی این پروژه تا اواسط سال ۱۴۰۴، اشتغال‌زایی قابل‌توجه حدود ۵۰۰ نفری به صورت مستقیم در سطح منطقه رقم خواهد خورد که نشان از اهمیت بالای این پروژه در محرومیت‌زدایی و رونق اقتصاد در استان کردستان و کشور دارد.,1403/08/16
پیشرفت ۵۸ درصدی پروژه گندله سازی کردستان,پروژه احداث کارخانه گندله‌سازی کردستان که از ظرفیت تولید سالانه یک میلیون تن گندله برخوردار خواهد بود، در زمینی به مساحت ۲۸ هکتار در بخش کُرانی شهرستان بیجار قرار دارد.,1403/08/16
جذب سرمایه خارجی با تغییر نگرش و اصلاح قوانین محقق می‌شود,در نشست تخصصی توسعه سرمایه‌گذاری خارجی از منظر بخش خصوصی بر لزوم تغییر نگرش و شیوه اندیشیدن درباره موضوعات اقتصادی و به دنبال آن اصلاح قوانین، تأکید شد.,1403/08/16
نقش صنعت TIC در کیفیت، توسعه پایدار و تسهیل تجارت,سمینار نقش بازرسی در ارتقا کیفیت، ایمنی و سلامت، روز گذشته توسط جامعه ممیزی و بازرسی ایران و با حضور نمایندگان شرکت‌ها و اعضای انجمن‌های تخصصی و تشکل‌های اقتصادی برگزار شد.,1403/08/16
تکلیف عرضه خودرو در بورس کالا مشخص شد,وزیر صنعت تاکید کرد که هیچ‌کجای دنیا، عرضه خودرو در بورس اتفاق نمی‌افتد. عرضه خودرو باید به صورت رقابتی و از طریق بازار انجام شود، نه از طریق بورس؛ از این رو شورای رقابت در این زمینه نظر درستی داشته و خودرو باید در شرایط رقابتی به مردم عرضه شود.,1403/08/16
شوک دولت به معادن با افزایش ۵ برابری تعرفه واردات ماشین‌ آلات/ دولت به جای افزایش تعرفه واردات ماشین‌های معدنی، قیمت سوختشان را واقعی کند,دبیر انجمن تولید‌کنندگان و واردکنندگان ماشین‌آلات سنگین معدنی، ساختمانی و راهسازی بیان کرد: طبق شنیده‌ها قرار است سود بازرگانی بیل‌های مکانیکی وارداتی تا ۴۰ تن به شدت افزایش یابد که در اینصورت، سود بازرگانی بیل‌های مکانیکی نو از ۱۱ درصد به ۴۱ درصد رسیده و برای بیل‌های مستعمل با عمر کمتر از ۵ سال نیز از ۱۶ درصد به ۵۱ درصد افزایش پیدا خواهد کرد.,1403/08/16
تبعات انحلال اتحادیه کشوری کسب و کارهای مجازی/ پیگیر برگزاری انتخابات آنلاین هستیم,عضو هیات مدیره اتحادیه کشوری کسب و کارهای مجازی بیان کرد: با برگزاری آنلاین انتخابات اتحادیه کسب و کارهای مجازی توسط بخشی از وزارت صمت مخالفت می‌شود و می‌گویند امکان تخلف و تقلب وجود دارد، این در حالی است که ابزارهای مناسب برای احراز هویت وجود دارد. چطور رای دادن آنلاین خطرناک است، اما باطل کردن مجوز که به صورت آنلاین انجام می‌شود، خطرناک نیست؟ ,1403/08/15
رئیس کنفدراسیون صادرات ایران: رفع تعهد ارزی با طلا برای صادرکنندگان مشکل‌ساز شد,در حوزه تجارت خارجی مخصوصا صادرات فرماندهی واحد نداریم و طی چند سال گذشته این اختیار بیشتر به سیاست‌گذار ارزی واگذار شده است. از وزیر صمت انتظار می‌رود که این نقش آفرینی مجدد به سازمان توسعه تجارت برگردد. ,1403/08/14
با آخرین فناوری‌‌های معدنی در کانماین ۱۴۰۳ آشنا شوید,هجدهمین دوره نمایشگاه بین ‌المللی کانماین برگزار خواهد شد.,1403/08/13
تجارت خارجی ایران ۱۰۰ میلیارد دلاری شد,معاون وزیر اقتصاد و رئیس کل گمرک جمهوری اسلامی ایران از تجارت خارجی حدود ۱۰۰ میلیارد دلاری در هفت ماهه سال ۱۴۰۳ خبر داد.,1403/08/13
ضرورت تسهیل ورود و فعالیت جوانان در حوزه تجارت الکترونیکی,رئیس مرکز توسعه تجارت الکترونیکی گفت: در حوزه منابع انسانی و دانش تخصصی این حوزه ظرفیت‌های بسیاری در کشور وجود دارد که می‌تواند در راستای ارائه خدمات مطلوب و شفاف به مردم به کار گرفته شود.,1403/08/12
دیپلماسی فولاد اکسین افزایش توان رقابتی با شرکت‌های خارجی است / تولید محصولات خاص در اکسین برای خنثی‌سازی تحریم‌ها,مهندس علی محمدی مدیرعامل شرکت فولاد اکسین با بیان اینکه درهای فولاد اکسین به روی همه شرکت های دانش‌بنیان و توانمند داخلی برای جهش تولید باز است، گفت: اکسین با تامین نیاز صنایع استراتژیک کشور، به شایستگی توانایی خود را اثبات کرده است.,1403/08/12
تاثیر فناوری بر لجستیک دریایی خاورمیانه؛ تحولی نوین در زنجیره تأمین,لجستیک دریایی در خاورمیانه به عنوان یک عامل کلیدی در زنجیره تأمین جهانی، تحت تأثیر فناوری‌های نوینی مانند اینترنت اشیاء و هوش مصنوعی قرار دارد. این گزارش به تحلیل تأثیرات اقتصادی این فناوری‌ها و نقش بنادر ایران در مواجهه با چالش‌ها و فرصت‌های جدید می‌پردازد.,1403/08/12
اما و اگرهای رفع تعهد ارزی صادرکنندگان با واردات خودرو/ دست اندازهای واردات خودرو حذف می‌شود؟ ,عضو هیات نمایندگان اتاق تهران بیان کرد: بحث واردات خودرو در مقابل رفع تعهد صادراتی چندین بار مطرح شده است، اما هر بار و در مرحله آخر با یک دست‌اندازی مواجه شده و متاسفانه متوقف شده است. ,1403/08/12
سهم بری کارگران از سود معادن/ وضعیت معیشتی معدنچیان بهبود می‌یابد,وزیر تعاون، کار و رفاه اجتماعی بیان کرد: بر اساس قراردادهای جمعی جدید بین کارگران و بهره برداران هر معدن، مقرر شد کارگران علاوه بر دریافت حقوق و دستمزد، از سود معادن نیز سهم ببرند.,1403/08/10
استخراج سنتی زغالسنگ، عامل اصلی حوادث,وزیر صمت بیان کرد: ۲۲۸ عدد معدن‌ زغال سنگ در کشور وجود دارد که ۹۰ درصد آن در طبس است.,1403/08/10
فرارسیدن لحظه تغییرات بزرگ در ایمنی معادن / تجربه ارزشمند آمریکا و چین در کاهش حوادث معدنی,چهل روز از حادثه تلخ انفجار معدن زغالسنگ طبس و آسمانی شدن ۵۳ نفر از معدنکاران فداکار کشور می‌گذرد اما این حادثه بزرگ نیز تا کنون نتوانسته زمینه‌های تغییراتی بنیادین در ایمنی معادن را ایجاد کند. اکنون نیاز است با استفاده از تجارب کشورهای معدنی بزرگ نظیر چین و آمریکا، گام در راه تحول ایمنی معادن بگذاریم تا دیگر شاهد حوادث تلخ معدنی نباشیم.,1403/08/10
ورود شکوه‌مند لوکانو به ایران؛ تولد یک مشارکت جدید ,"شامگاه شنبه، پنجم آبان ماه هزارو چهارصد و سه، ""لوکانو"" با حضور جمعی از مقامات عالی رتبه کشور و صنعت، مدیران صنعت خودرو، مدیران ارشد بین المللی لوکانو و رسانه‌های تخصصی خودرو طی مراسمی مجلل در هتل اسپیناس پالاس رونمایی شد. این ورود به بازار که با یک سرمایه‌گزاری مشترک جدید همراه است، در شرایط تحریمی، نشانه ای مثبت از توسعه خودروسازی ایران به شمار می آید. ",1403/08/09
۴۰ میلیارد دلار ارز واردات تأمین شد,بانک مرکزی از اول فروردین ماه تا ۹ آبان ماه امسال، ۴۰ میلیارد و ۹۱۳ میلیون دلار ارز برای واردات کالاهای اساسی، دارو، کالاهای تجاری و بازرگانی، واردات در مقابل صادرات و خدمات تأمین کرده است.,1403/08/09
وزیر صمت: راه را برای حضور صادرکنندگان ایرانی در بازار اوراسیا باز می‌کنیم,محمد اتابک، وزیر صمت: صادرات کشور باید افزایش یابد، با شرایطی که وجود دارد بازارهای صادراتی ما محدود شده است. اگر جمعیت ۲۰۰ میلیون نفری اوراسیا را به عنوان بازار هدف درنظربگیریم بسیاری از اجناس ایرانی در آنجا مورد نیاز است و ما می‌توانیم راه را برای فعالین اقتصادی باز کنیم.,1403/08/09
چشم‌انداز تجارت ۵ میلیارد دلاری ایران و ازبکستان/ توافقات اولیه امضای تعرفه ترجیحی,سرپرست دفتر آسیای میانه، قفقاز و روسیه سازمان توسعه تجارت ایران ضمن ترسیم چشم‌انداز بلندمدت تجارت پنج میلیارد دلاری ایران و ازبکستان از توافقات اولیه برای امضای موافقتنامه تعرفه ترجیحی بین دو کشور خبر داد.,1403/08/08
شرکت عالیفرد صادرکننده نمونه ملی 1403,شرکت عالیفرد (سن ایچ) در بزرگداشت روز ملی صادرات، طی مراسمی که از سوی سازمان توسعه تجارت ایران در بیست و نهم مهرماه برگزار شد، به‌عنوان صادرکننده نمونه ۱۴۰۳ انتخاب و مفتخر به دریافت لوح و تندیس این عنوان شد.,1403/08/08
به‌روزرسانی شرایط لغو سفر در اسنپ,شرایط مربوط به هزینه‌ لغو سفر در اسنپ به‌روزرسانی شد. در حال حاضر، پس از رسیدن کاربر راننده به مبدأ و گذشت ۵ دقیقه از زمان قبول درخواست سفر، در صورتی‌که کاربر مسافر سفر را لغو کند، یا تا ۵ دقیقه بعد از رسیدن کاربر راننده در مبدأ حاضر نشود و کاربر راننده مجبور به لغو سفر شود، کاربر مسافر موظف به پرداخت هزینه لغو سفر به کاربر راننده خواهد شد. این مبلغ در ازای زمان صرف‌شده و هزینه سوخت است و بدون کسر کمیسیون به حساب کاربر راننده واریز می‌شود.,1403/08/08
کاربرد ورق های فولادی در صنعت,ورق فولادی به عنوان یکی از کاربردی‌ترین محصولات نه تنها در صنعت ساخت و ساز که در بسیاری موارد دیگر به حساب می‌آید. این موضوع از آن جهت است که ورق آهنی افزون بر برخورداری از مقاومت قابل توجه، دارای شکل‌پذیری بالا و انعطاف‌پذیری در طراحی است. به همین خاطر پاسخگوی نیاز بسیاری صنایع خواهد بود.,1403/08/08
قوانین و مشوق‌های توسعه مکران توسط اتاق ایران تدوین می‌شود,در مراسم امضای تفاهم‌نامه همکاری میان اتاق ایران و شورای توسعه سواحل مکران، مقرر شد که اتاق ایران قوانین و مشوق‌های توسعه مکران را برای جذب سرمایه‌گذاران بخش خصوصی در این منطقه تدوین کند.,1403/08/07
رجیستری این گوشی‌ها در ایران ممنوع شد,فروش گوشی‌های موتورولا در فروشگاه‌های آنلاین، متوقف شده و این فروشگاه‌ها یا صفحات موبایل‌های این برند را حذف کرده‌اند.,1403/08/07
صدور احکام اعضای هیات عامل ایمیدرو از سوی وزیر صمت,وزیر صنعت معدن و تجارت، با صدور احکامی جداگانه، اعضای جدید هیات عامل ایمیدرو را منصوب کرد.,1403/08/07
توسعه تعاملات تجاری ایران و چین با راهبردهای جدید,در دیدار معاون وزیر صمت و رئیس کل سازمان توسعه تجارت ایران با سفیر چین در ایران بر علاقه‌مندی دو کشور در زمینه توسعه همکاری‌های تجاری بر اساس گسترش ارتباطات و راهبردهای جدید تاکید شد.,1403/08/07
نمایشگاه ایران کلین؛ سکوی پرتاب صنعت نظافت به آینده,نمایشگاه ایران کلین با هدف ارتقاء سطح خدمات نظافت و بهداشت در کشور برگزار خواهد شد.,1403/08/07
بازارهای صادراتی ایران محدود شده است/ فرش ایرانی در افغانستان و پاکستان بافته می‌شود,وزیر صمت بیان کرد: صادرات کشور باید افزایش یابد، با شرایطی که وجود دارد بازار‌های صادراتی ما محدود شده است. اگر جمعیت ۲۰۰ میلیون نفری اوراسیا را به عنوان بازار هدف درنظربگیریم بسیاری از اجناس ایرانی در آنجا مورد نیاز است و ما می‌توانیم راه را برای فعالین اقتصادی باز کنیم.  ,1403/08/07
فرصت سرمایه‌گذاری در پربازده‌ترین صنعت کشور, در حال حاضر صنعت فلزات اساسی بیش از ۲۱% از کل ارزش بازار سرمایۀ ایران را به خود اختصاص داده است و بخش قابل توجهی از سود خالص بازار سهام توسط شرکت‌های تولیدکنندۀ فلزات اساسی محقق می‌شود. از آنجا که این صنعت نقش مهمی در سهم صادرات غیرنفتی کشور بر عهده دارد، یک صنعت دلاری محسوب شده، و می‌تواند یکی از گزینه‌های اصلی سرمایه‌گذاری و تنوع‌بخش پرتفوی سرمایه‌گذاران و فعالان بازار باشد.,1403/08/06
فضای مناسب برای فعالیت اقتصادی نداریم / خلاصه شدن تجارت ایران در ۵ کشور، خطرناک است,رئیس اتاق بازرگانی ایران گفت: برای رسیدن به آرمان های ملی نیازمند یک برنامه درون زا و برون نگر هستیم تا با ایجاد امنیت اقتصادی، توسعه مشارکت سرمایه گذاری خارجی در کشور و با حمایت دولت حضور فعالان اقتصادی ایرانی در پروژه های بزرگ خارجی و بازارهای جهانی را رقم بزنیم. ,1403/08/06
تحولات توسعه‌ای با تمرکز بر انرژی‌های تجدیدپذیر و زیرساخت‌های پایدار,معاون توسعه و تکنولوژی فولاد سنگان، در حاشیه سمپوزیوم فولاد ۴۰۳ کیش، از طرح‌های گسترده توسعه‌ای این شرکت در بخش‌های زیرساختی، انرژی و تولید خبر داد. این طرح‌ها که با سرمایه‌گذاری عظیمی همراه است، بر تأمین منابع پایدار آب و برق، بازیافت و استفاده از تکنولوژی‌های نوین در تولید کنسانتره و گندله تمرکز دارند.,1403/08/06
سرپرست شرکت سهامی نمایشگاه‌های بین‌المللی ایران منصوب شد,با حکم وزیر صمت، صدیف بیک زاده مدیرعامل شرکت سهامی نمایشگاههای بین المللی جمهوری اسلامی ایران شد.,1403/08/05
مرزنشینان فقط می‌توانند این کالاها را وارد کنند,فهرست کالاهای قابل ورود توسط مرزنشینان و تعاونی‌های آن‌ها بروزرسانی و در سامانه جامع تجارت پیاده‌سازی شده است.,1403/08/05
سیاست‌های کشور در زمینه واردات اشتباه است/ مزیت‌های خاص ارمنستان برای ایران چیست؟ ,رئیس اتاق مشترک بازرگانی ایران و ارمنستان می‌گوید: مخالف سیاست‌های فعلی کشور در زمینه واردات هستم، سیاست‌های ما باید طوری باشد که اجازه دهیم به کشوری که صادرات داریم، به ما صادرات داشته باشد و اینطور نگوییم که مثلا ارمنستان کالایی برای عرضه به ما ندارند، این سیاست اشتباهی است و باید بین دو کشور تبادل انجام شود. ,1403/08/04
آغاز رسمی فعالیت‌های LUCANO به زودی در ایران,طبق گزارش‌ها، فعالیت‌های رسمی LUCANO در ایران به زودی با برگزاری یک رویداد باشکوه و مجلل آغاز خواهد شد که در آن از محصولات جدید رونمایی می‌شود.,1403/08/04
