Title,Summary,Date
کاهش ناگهانی قیمت گوجه‌فرنگی,رئیس اتحادیه بارفروشان گفت: برآوردها حاکی از آن است که قیمت گوجه فرنگی در روزهای آتی ۵۰ درصد کاهش یابد.,1403/08/22
پیگیری همسان‌سازی حقوق بازنشستگان به کجا رسید؟ + فیلم,فاطمه مهاجرانی سخنگوی دولت در نشست خبری امروز سه‌شنبه ۲۲ آبان ماه گفت: همسان‌سازی حقوق بازنشستگان دنبال می‌شود تا این افراد، زیر خط فقر قرار نگیرند.,1403/08/22
مهاجرانی: همسان‌سازی حقوق بازنشستگان را پیگیری می‌کنیم/ شیب تورم کاهشی شده است,سخنگوی دولت در نشست خبری با خبرنگاران ذکر کرد: =شیب تورم با آنچه احساس می‌شود ممکن است متفاوت باشد. تورم کاهش پیدا نکرده ولی شیب تورم از اردیبهشت‌ماه کاهش یافته است.,1403/08/22
چرا طرح کالابرگ متوقف شد؟ + فیلم,سخنگوی دولت گفت: طرح کالابرگ که در دولت قبل مطرح شد با محدودیت‌های منابع و زیرساخت مواجه شده است.,1403/08/22
وضعیت معیشت بازنشستگان بحرانی شد,رئیس جمهور با ارائه لایحه بودجه ۱۴۰۴، تصمیم بر کاهش قدرت خرید حقوق‌بگیران و گسترش فقر و فلاکت را ابلاغ کرد یعنی نه تنها حقوق‌ها نسبت به تورم‌های سرسام‌آور بهبود نسبی نخواهد یافت بلکه فاصلۀ آن با سطح معیشت باز هم عمیق‌تر خواهد شد.,1403/08/22
چرا ۶۰ درصد پاداش پایان خدمت فرهنگیان واریز نشد؟,هزار فرهنگی بازنشسته سال ۱۴۰۲ نسبت به واریزنشدن ۶۰درصد پاداش پایان خدمت خود معترض هستند.,1403/08/21
واریز مبلغ قابل توجه برای بازنشستگان,صندوق ذخیره فرهنگیان اعلام کرد: مرحله اول سهم‌الشرکه اعضای بازنشسته صندوق ذخیره فرهنگیان به حساب فرهنگیان ۲۲ استان واریز شد که مجموع این مبالغ واریزی حدود ۲ هزار میلیارد تومان است.,1403/08/21
لزوم رفع تبعیض در پرداخت حقوق کارکنان دولت / دولت باید لایحه اصلاح حقوق را ارائه کند,بر اساس جدولی که سازمان اداری و استخدامی منتشر کرده است، میانگین حقوق دستگاه‌های مختلف، اختلاف بسیاری با هم دارد به طوری که حقوق کارمندان وزارت نفت، سه برابر کارمندان آموزش و پرورش است. سوال اصلی اینجاست که چرا ترکش‌های کسری بودجه تنها باید به کارمندان آموزش و پرورش برخورد کند و این تبعیض تا کجا ادامه خواهد داشت؟,1403/08/21
تاب‌آوری اقتصاد ایران پایین آمده است / اصلاحات سخت اقتصادی باید آغاز شود,روز گذشته محمدرضا فرزین، رئیس کل بانک مرکزی ایران در یک گفت‌وگوی تلویزیونی عنوان کرد: اقتصاد ما در همان روز اول نشان داد که در برابر این اتفاق (روی کار آمدن ترامپ) تاب‌آوری بالایی دارد. اقتصاد ایران، اقتصاد ۸ سال پیش نیست که انتخاب ترامپ اثر زیادی بر آن داشته باشد. این صحبت‌های فرزین اگر چه دلگرم کننده بود اما مورد انتقاد بسیاری از کارشناسان و تحلیلگران اقتصادی قرار گرفت. از نظر آنان فرزین هنوز در حال و هوای دولت سیزدهم به سر می‌برد، اما یک مدیر اقتصادی، بسته به ماموریت کاری خود، لازم است نوع بیان مشکلات و صحبت وی با مردم تفاوت داشته باشد و بیشتر از بسته سیاستی سازمان خود سخن بگوید نه سخنانی به دور از واقعیت.,1403/08/21
پیش بینی از آینده اقتصاد ایران با انتخاب ترامپ,افزایش تحریم‌های بین المللی از سوی آمریکا و کشورهای غربی نه تنها تهدیدی برای ما نبود، بلکه به فرصت و استقامت تبدیل شد.,1403/08/21
بررسی لایحه بودجه سال ۱۴۰۴ آغاز شد,سخنگوی کمیسیون تلفیق بودجه گفت: لایحه بودجه از فردا در کمیسیون تلفیق بررسی می‌شود و کمیسیون ۱۰ روز فرصت دارد جزئیات لایحه را بررسی و بعد به صحن مجلس ارجاع دهد.,1403/08/21
زمان و مبلغ افزایش حقوق بازنشستگان اعلام شد, محمد محمدی معاون بیمه‌ای سازمان تأمین اجتماعی با اشاره به آغاز اجرای طرح متناسب‌سازی حقوق بازنشستگان تأمین اجتماعی، از پرداخت مابه‌التفاوت متناسب‌سازی همراه با حقوق آبان‌ماه خبر داد و گفت: پرداخت مابه‌التفاوت متناسب‌سازی برای بازنشستگان غیر حداقل‌بگیر و مبلغ حفظ قدرت خرید برای بازنشستگان حداقل‌بگیر، از ۲۳ آبان و مطابق جدول اعلام شده انجام می‌شود.,1403/08/21
رئیس سازمان بورس از جزئیات جدید سهام عدالت خبر داد,رئیس سازمان بورس و اوراق بهادار در خصوص آخرین وضعیت برگزاری مجامع شرکت‌های سهام عدالت، گفت: در رابطه با شرکت‌های سرمایه گذاری سهام عدالت، ابتدا باید صورت‌های مالی انها حسابرسی شود.,1403/08/21
تاریخ واریز حقوق بازنشستگان با اعمال متناسب‌سازی اعلام شد,آبان ماه حقوق ماهیانه با اجرای متناسب‌سازی و اعمال آن در حقوق‌ها، به حساب بازنشستگان واریز می‌شود.,1403/08/21
شوک به بازنشستگان/ حقوق آبان ماه با تاخیر پرداخت می‌شود,سازمان تأمین اجتماعی همچنان در پرداخت حقوق بازنشستگان این سازمان بدقولی کرده و اعلام کرده است که حقوق بازنشستگان در آبان‌ماه نیز با تأخیر واریز خواهد شد.,1403/08/21
خبر بد برای بازنشستگان/ صدور احکام جدید به تعویق افتاد,پیگیری‌ها از کانون بازنشستگان نشان می‌دهد که هنوز زمان صدور و ابلاغِ احکام حقوقی بازنشستگان تامین اجتماعی مشخص نیست؛ فعلاً فقط قیش‌های حقوقی صادر می‌شود. ظاهراً صدور احکام به هفته‌های آینده موکول شده است.,1403/08/21
فرمول نهایی متناسب‌سازی حقوق بازنشستگان اعلام شد,در روزهای گذشته در ارتباط با فرمول متناسب‌سازی حقوق بازنشستگان تامین اجتماعی گمانه‌زنی‌هایی صورت گرفته بود اما تامین اجتماعی بالاخره فرمول‌ نهایی را اعلام کرد این در حالیست که هنوز فیش‌های حقوقی صادر نشده است.,1403/08/21
تجمع اعتراضی بازنشستگان/ مستمری‌ها افزایش یابد,شماری از بازنشستگان کارگری در چند شهر از جمله شوش، اهواز و کرمانشاه در اعتراض به وضعیت معیشتی و مزدی خود دست به اعتراض زدند.,1403/08/21
چه زمانی مردم بیشترین مالیات را پرداخت می‌کنند؟,عضو کمیسیون اجتماعی مجلس شورای اسلامی با اشاره به تاثیر «نشان‌دار کردن مالیات» در توسعه مناطق مختلف کشور گفت: مردم اگر احساس کنند بخشی از مالیاتی که پرداخت می‌کنند، برای شهر و استان خودشان و توسعه زیرساخت‌های ورزشی، بهداشتی، آموزشی و... هزینه می‌شود، با انگیزه بیش‌تری مالیات‌شان را پرداخت می‌کنند. ,1403/08/21
فرمول همسان‌سازی حقوق بازنشستگان تامین اجتماعی مشخص شد,اجرای قانون متناسب‌سازی مستمری بازنشستگان تامین اجتماعی از چه زمانی آغاز می‌شود و فرمول متناسب‌سازی در تامین اجتماعی چگونه است؟ معاون بیمه‌ای سازمان تامین اجتماعی پاسخ می‌دهد.,1403/08/20
بازار بدهی؛ راهکاری برای حل تامین مالی شرکت‌ها و بودجه دولت,شرکت‌ها و بنگاه‌های اقتصادی برای تامین مالی دو شیوه رایج در دنیا دارند؛ شیوه استفاده از واسطه‌گری مالی، مثل بانک‌ها که سپرده گرفته و تسهیلات ارائه می‌دهند. و یک شیوه نیز بازار سرمایه است؛ آنچه که مسلم است آرامآرام شیوه تامین مالی به سمت بازار سرمایه می‌رود چراکه تنوع ابزارها در بازار سرمایه بیشتر است.,1403/08/20
پیگیری جدی دولت درخصوص پرداخت تسهیلات ازدواج و ناباروری,دبیر ستاد ملی جمعیت بر لزوم حمایت از خانواده‌ها برای فرزندآوری تاکید کرد.,1403/08/20
آخرین خبر از متناسب‌سازی حقوق بازنشستگان/ حقوق حداقل بگیران چقدر شد؟,احکام متناسب‌سازی حقوق بازنشستگان کشوری صادر شده و حقوق آبان‌ماه این بازنشستگان نیز بر مبنای متناسب‌سازی واریز خواهد شد. همزمان تأمین اجتماعی هم از اجرای حقوق بازنشستگان خود همزمان با حقوق آبان‌ماه خبر داده اما درباره مابه‌التفاوت ۷‌ماه قبل سکوت کرده است.,1403/08/20
جداول متناسب‌سازی بازنشستگان را ناامید کرد/ احکام اصلاح شوند,نماینده مردم بانه تاکید کرد: قانون متناسب سازی بازنشستگان بسیاری از مردم را امیدوار کرد اما جداول آنها را ناامید کرد و بازنشستگان نیمه دوم سال ۱۴۰۰ درخواست اصلاح حکم خود بر اساس قانون مصوب مجلس را دارند.,1403/08/20
انتصاب تازه در تامین اجتماعی/ «محمدرضا سعیدی» سرپرست شستا شد,مصطفی سالاری مدیرعامل سازمان تأمین اجتماعی در حکمی محمدرضا سعیدی را به عنوان سرپرست شرکت سرمایه‌گذاری تأمین اجتماعی(شستا) منصوب کرد.,1403/08/20
تصمیمات دولت برای بهبود شرایط تولید و توسعه منابع مالی,وزیر اقتصاد در شبکه اجتماعی ایکس نوشت: تصمیمات مهم و خوبی در زمینه تامین مالی تولید اتخاذ شده است.,1403/08/20
توسعه زیرساخت‌های مناطق محروم با اجرای طرح نشان دار کردن مالیات/ عدم شفافیت در هزینه کرد مالیات مردم را دلسرد کرده بود,نماینده مردم زابل و زهک در مجلس شورای اسلامی با اشاره به تاثیر طرح «نشان‌دار کردن مالیات» بر تشویق مردم به پرداخت مالیات، گفت: باید بخشی از مالیاتی که در مراکز استان‌ها جمع‌آوری می‌شود برای تکمیل پروژه‌ها و یا توسعه زیرساخت‌های استان‌های محروم هزینه شود تا توسعه یکنواختی را در سطح کشور داشته باشیم.,1403/08/20
تاریخ جدید واریز حقوق بازنشستگان با اجرای همسان‌سازی + جدول,مطابق اعلام قبلی مدیرعامل سازمان تامین اجتماعی، فرایند صدور احکام بازنشستگان مشمول طرح متناسب‌سازی آغاز شده و پرداخت حقوق آبان ماه همراه با اعمال این افزایش و مطابق جدول زمان‌بندی ذیل صورت می‌گیرد.,1403/08/20
فیش حقوقی بازنشستگان تامین اجتماعی تغییر کرد / آغاز واریز مبلغ همسان سازی برای مشمولان,واریز حقوق آبان ۱۴۰۳ بازنشستگان از امروز آغاز شد.,1403/08/20
آمارها از پرداخت وام ازدواج چه می‌گویند؟,دبیرکل کانون بانک ها و موسسات اعتباری خصوصی از پرداخت ۷۹۰۰ میلیارد تومان تسهیلات قرض الحسنه ازدواج توسط این بانک ها تا پایان شهریور خبر داد.,1403/08/19
علت نوسانات در بازار مرغ چیست؟,معاون امور تولیدات دامی با تاکید بر اینکه با توجه به میزان جوجه‌ریزی‌ها کمبودی در مرغ گرم وجود ندارد و نیاز کشور تا پایان سال نیز تامین است، اظهار کرد: نوسانات قیمت این محصول ناشی از افزایش قیمت نهاده‌های دامی است و کمبودی در این محصول وجود ندارد.,1403/08/19
تاریخ رتبه‌بندی دو گروه از معلمان اعلام شد,سه گروه از معلمان تا پایان آبان‌ماه فرصت بارگذاری مدارک رتبه‌بندی را دارند.,1403/08/19
یارانه نقدی چه کسانی حذف می‌شود؟ / از کجا بفهمیم دهک چندم هستیم؟ ,خانوارهایی که در یک سال بیش از پنج سفر خارجی داشته باشند، یارانه آنها قطع خواهد شد.,1403/08/19
میانگین حقوق کارمندان وزارت نفت چقدر است؟,به تازگی سازمان اداری و استخدامی کشور گزارش وضعیت پرداخت دستگاه های اجرایی را منتشر کرده است. در سال گذشته میانگین حقوق کارمندان وزارت نفت نزدیک به ۴۵ میلیون تومان بوده است.,1403/08/19
خبر خوش سالاری برای بازنشستگان/ واریزی ویژه در راه است,مصطفی سالاری مدیرعامل سازمان تأمین اجتماعی گفت: متناسب‌سازی حقوق بازنشستگان تأمین اجتماعی از این هفته اجرایی می شود .,1403/08/19
نشان‌دار کردن مالیات، گامی بزرگ برای شفافیت‌ و عدالت مالیاتی,نماینده مردم قرچک و ورامین در مجلس شورای اسلامی طرح «نشان دار کردن مالیات» را راهی برای تحقق عدالت مالیاتی در کشور دانست و بیان کرد: با اجرای این طرح مردم می‌توانند نتیجه مالیاتی که پرداخت کردند را به طور ملموس در پیشرفت و توسعه زیرساخت‌های کشور مشاهده کنند.,1403/08/19
ساماندهی کولبری به کجا رسید؟ + فیلم,عبدالناصر همتی، وزیر امور اقتصادی و دارایی در جریان سفر به سیستان و بلوچستان از تصویب طرح ساماندهی کولبری در هیات دولت خبر داد و گفت که بر اساس این طرح کالاهای وارد شده توسط کولبران ساماندهی خواهند شد تا ظرف پنج سال بتوانند تحت ضوابط گمرکی قرار گیرند و استانداران مسوول اجرای این طرح هستند.,1403/08/18
معلمان بدون رتبه‌بندی برای بارگذاری مدارک تا تا این تاریخ فرصت دارند/صدور احکام معلمان تا آخر دی ماه,رئیس مرکز برنامه‌ریزی منابع انسانی آموزش و پرورش با بیان اینکه ۱۲۰ هزار معلم بدون رتبه‌بندی و تازه استخدام، برای بارگذاری مدارک در سامانه رتبه‌بندی تنها تا پایان آبان فرصت دارند، گفت: تعداد اندکی از همکاران که اداری استخدام شده و به صورت تخصصی برای یک پست سازمانی مصوب به کارگیری شده‌اند؛ مشمول رتبه بندی در این مرحله نمی‌شوند.,1403/08/18
احتمال افزایش قیمت روغن قوت گرفت,مصرف روغن خوراکی در ایران خارج از استانداردهای جهانی است که علاوه بر ایجاد فشار بر منابع ارزی کشور، مشکلات جدی در حوزه سلامت عمومی به همراه داشته است.,1403/08/18
آیفون۱۳ هنوز ارزش خرید دارد؟,در روزهای اخیر با اعلام خبر آزادسازی رجیستری و واردات آیفون ۱۴ به بالا، عده بسیاری که قصد خرید گوشی اپل دارند دچار سردرگمی شده‌اند که آیفون ۱۳ ارزش خرید دارد یا خیر.,1403/08/18
این ۳ صندوق بازنشستگی منحل می‌شوند؟,طبق آنچه در لایحه بودجه ۱۴۰۴ تاکید شده، با تقبل مصارف سه صندوق بازنشستگی کشوری از سوی دولت عملا داراییهای این صندوقها اعم از شرکتهای مرتبط این صندوق ها به صورت مستقیم در اختیار دولت قرار خواهد گرفت.,1403/08/18
زمان واریز یارانه نقدی آبان ۱۴۰۳ تغییر کرد؟,زمان واریز یارانه نقدی در ماه آبان مشخص شده و در روزهای آینده حساب حدود ۲۷ میلیون سرپرست خانوار شارژ خواهد شد.,1403/08/18
حقوق بازنشستگان در ماه آبان چند میلیون اضافه می‌شود؟,پس از ماه‌ها سرانجام متناسب‌سازی حقوق بازنشستگان اجرایی و تا روزهای آینده معادل ۴۰ درصد متناسب‌سازی حقوق بازنشستگان به حساب تمامی بازنشستگان واریز خواهد شد.,1403/08/18
ارز به سمت تک نرخی شدن می‌رود / تشکیل شورای ملی تأمین مالی برای هماهنگی بخش‌های اقتصادی,رئیس کمیسیون اقتصادی مجلس با تاکید بر اهمیت استراتژیک تأمین مالی از طریق بازار سرمایه و اشاره به بحران‌های مالی سال ۲۰۰۸، از اجرای اصلاحات بنیادین در زیرساخت‌های اقتصادی، مالیاتی و نظام مالی به منظور تقویت بازار سرمایه خبر داد.,1403/08/18
روش استعلام دهک یارانه / چگونه به حذف یارانه نقدی اعتراض کنیم؟,یارانه نقدی برخی از خانوار طبق مصوبه هیات وزیران دولت پزشکیان قرار است به زودی حذف شود. اما از کجا می توانیم به دهک بندی یارانه اعتراض کنیم؟,1403/08/17
با پیروزی ترامپ در کدام بازار مالی سرمایه‌گذاری کنیم؟,دونالد ترامپ با پیروزی مقابل رقیب دموکرات خود کاملا هریس وارد کاخ سفید شد و این موضوع بازارهای مالی در سراسر جهان را تحت تأثیر قرار داده است. روز گذشته پس از قطعی شدن پیروزی ترامپ در انتخابات ریاست جمهوری، بازارهای مالی در جهان و در ایران شاهد تغییرات چشمگیری شد. دلار آمریکا روز چهارشنبه ۱.۶ درصد صعود کرد و به بالاترین میزان چهار ماه گذشته رسید و در مقابل ارزهای آسیایی در سراسر جهان سقوط کردند.,1403/08/17
بازنشستگان از این تاریخ منتظر واریزی جدید باشند,مدیرعامل سازمان تأمین اجتماعی از واریز مبالغ متناسب‌سازی حقوق بازنشستگان از ۲۰ آبان خبر داد.,1403/08/17
مجموع درآمد اعضای خانواده به این میزان باشد یارانه نقدی حذف می‌شود,به موجب مصوبه دولت شش ملاک و معیار برای حذف یارانه اعلام‌شده است و خانوارهایی که واجد هر یک از شرایط زیر باشند با رعایت ملاحظات اجتماعی و به صورت تدریجی غیر مشمول حمایت دولت تلقی می شوند,1403/08/17
خبر خوش سازمان اداری و استخدامی/ رفاهیات کارکنان دولت افزایش یافت,علاء‌الدین رفیع‌زاده اظهار کرد: همه پرداختی‌های مرتبط با رفاهیات مستقیم و غیرمستقیم کارکنان دولت تا ۲۰ درصد افزایش یافته است.,1403/08/17
همسان‌سازی حقوق بازنشستگان به ایستگاه آخر رسید / تغییر حقوق از آبان ۱۴۰۳,مدیرعامل سازمان تامین اجتماعی گفت: قانون متناسب‌سازی حقوق بازنشستگان به ایستگاه آخر رسید. اجرای این قانون از همین ماه آغاز می‌شود.,1403/08/16
از تقویت دلار تا رشد رمزارزها / ترامپ در این دوره اهدافش را با قدرت بیشتری دنبال می‌کند,تحلیلگران اقتصادی از هفته‌های گذشته تا به امروز که ترامپ به عنوان رئیس جمهور آمریکا انتخاب شد، پیش بینی‌های متعددی از وضعیت اقتصاد جهانی انجام دادند. در خصوص وضعیت اقتصادی داخلی اما با توجه به عدم اصلاحات اقتصادی در داخل کشور، اکنون سرنوشت اقتصاد ایران بیش از هر چیز به نتیجه انتخابات ریاست جمهوری آمریکا گره خورده است. کشور شدیدترین تحریم‌ها را در دوران ترامپ تجربه کرد و حال کارشناسان می‌گویند سیاست‌های ترامپ تغییری نکرده و حتی ممکن است شرایط را سخت تر از قبل هم کند.,1403/08/16
نرخ روز میوه در میادین اعلام شد,رئیس اتحادیه بارفروشان گفت: با توجه به شرایط مساعد تولید، عرضه مرکبات و سیب درختی نسبت به سال قبل ۲۵ درصد افزایش یافته است.,1403/08/16
ابلاغیه افزایش تسهیلات رفاهی کارکنان صادر شد,رئیس سازمان اداری و استخدامی گفت: تسهیلات رفاهی کارکنان دولت ۲۰ درصد افزایش یافت.,1403/08/16
چالش‌های رتبه بندی معلمان ادامه دارد!,وزیر آموزش و پرورش گفت: ما به صورت هفتگی این موضوع را دنبال می‌کنیم و امیدواریم در مرحله دوم، ارتقاء معلمان با کمترین چالش و مشکل انجام شود.,1403/08/16
وابستگی بودجه به نفت افزایش یافت,درحالی‌که گفته می‌شود وابستگی بودجه به فروش نفت کم شده است، اما بررسی‌ها نشان می‌دهد وابستگی به درآمدهای نفتی افزایش‌یافته است.,1403/08/16
خبر مهم از فیش حقوقی بازنشستگان/ احکام جدید صادر شد؟,ظاهراً فیش‌ حقوق بازنشستگان که در روزهای ابتدای هفته بارگذاری شده بود، برداشته شده است و این در حالیست که اعضای کانون بازنشستگان از توافق با تامین اجتماعی برای صدور احکام حقوقی جدید تا قبل از پایان آبان خبر می‌دهند.,1403/08/16
بازنشستگان تامین اجتماعی سورپرایز می‌شوند/ واریزی ویژه در آبان ۱۴۰۳,علیرغم اینکه فیش حقوقی بازنشستگان تامین اجتماعی بدون تغییر نسبت به ماه‌ گذشته بارگذاری شده و این موضوع بازنشستگان را شوکه کرده است، برخی منابع خبر داده‌اند که متناسب‌سازی حقوق بازنشستگان تامین اجتماعی تا پایان ماه جاری اجرا خواهد شد.,1403/08/16
فیش حقوقی جدید بازنشستگان در این تاریخ صادر می‌شود,بایستی فیش‌های حقوقی آبان‌ماهِ بازنشستگان بر مبنای احکام جدید در روزهای آینده و قبل از بیستم ماه صادر و بارگذاری شود؛ پرداخت حقوق بازنشستگان تامین اجتماعی از بیستم ماه آغاز می‌شود و این مستمری‌بگیران انتظار دارند حقوق آبان بر مبنای متناسب‌سازی محاسبه و پرداخت شود.,1403/08/16
شوک مجلس به کارگران/ کارگران ناامید شدند,"علی رغم اینکه چندی پیش اعلام شده بود بررسی اصلاح ماده ۴۱قانون کار برای تعیین مزد کارگران به اندازه تورم در کمیسیون اجتماعی است, اکنون به یکباره اعلام شد، این طرح فعلاً در هیأت رئیسه مجلس است و هنوز به کمیسیون اجتماعی ارجاع نشده است",1403/08/16
خبر تازه و مهم از متناسب سازی حقوق بازنشستگان,رئیس کانون کارگران بازنشسته تامین اجتماعی تهران گفت: هم احکام و هم حقوق بازنشستگان صادر خواهد شد و قرار است حقوق آبان ماه با اعمال متناسب‌سازی پرداخت شود. همچنین با پیگیری‌های کانون عالی و وزیر تعاون، کار و رفاه اجتماعی و مدیرعامل سازمان تامین اجتماعی قرار شد در راستای اجرای متناسب سازی، ۱۰ درصد حداقل حقوق به «حداقل بگیران» تعلق بگیرد که از همین رو، احکام آنها نیز تا پایان آبان ماه صادر می‌شود.,1403/08/16
انتصاب جدید در بانک مرکزی / این زن رییس هیات نظارت بانک مرکزی شد,با حکم وزیر امور اقتصادی و دارایی «کوثر یوسفی» به عنوان نخستین زن به سمت «رئیس هیئت نظارت بانک مرکزی» منصوب شد.,1403/08/15
کرسی ایران در صندوق بین‌المللی پول باید حفظ شود/ هیچ بهره‌ای از نمایندگانمان در واشنگتن نمی‌بریم,عضویت ایران در صندوق بین المللی پول در مدت اخیر با اما و اگرهای زیادی مواجه شده است. مخالفان عضویت در آن به نبود هیچ مزیت مالی برای ایران اشاره کرده، و موافقان به ضرورت حفظ کرسی مدیریتی ایران تاکید می‌کنند. با این حال کمیسیون اقتصادی مجلسه روزهای گذشته به باقی ماندن ایران در این صندوق و ضرورت پرداخت حق عضویت آن رای داده است.,1403/08/15
این افراد دیگر منتظر واریز یارانه نباشند,طبق اخباری که از سوی مسئولان دولتی به گوش می رسد پرداخت یارانه به گروه پردرآمدها به روزهای پایانی خود نزدیک شده با این حال دولت هنوز برای زمان اجرای آن به جمع بندی نهایی نرسیده است.,1403/08/15
شرایط بازنشستگی تغییر کرد + جزییات,سازمان اداری و استخدامی در بخشنامه‌ای توضیحاتی در خصوص نحوه بازنشستگی کارکنان قرارداد کار معین دستگاه‌های اجرایی اعلام کرد.,1403/08/15
شوک به بازنشستگان/ واریزی مهم به تعویق افتاد,وام ضروری بازنشستگان تا امروز پرداخت نشده است و این تاخیر در پرداخت موجب نارضایتی بازنشستگان شده است.,1403/08/15
به دلیل نداشتن تکنولوژی ذخیره‌سازی گاز، مجبوریم از ترکمنستان گاز وارد کنیم/ بخاطر تحریم، مبادله کالا به کالا می‌کنیم,رئیس جمهور طی سخنانی اعلام کرد که ترکمنستان حاضر نیست با ایران ما قرارداد گازی ببندد. بر اساس گفته مسعود پزشکیان این امتناع به علت بدعهدی دولت در گذشته برای پرداخت مطالبات گاز به ترکمنستان بوده است. حال با توجه به نزدیکی فصل زمستان و در پیش بودن سرما آیا قطع گاز و عدم واردات گاز می‌تواند نگران کننده باشد؟,1403/08/15
 نرخ ارز باید توافقی و یکسان باشد,وزیر اقتصاد گفت: نرخ ارز باید توافقی و یکسان شود اما تا بانک مرکزی با توجه به شرایط موجود این کار را انجام دهد یک مقدار زمان می‌برد. این موضوع اتفاق خواهد افتاد و سیاست دولت هم همین است اما تا آن موقع مشکل صادرکنندگان قیر را باید جمع بندی کنیم و به هیات دولت ببریم. ,1403/08/14
هرآنچه که باید درباره بودجه ۱۴۰۴ بدانید,بودجه تصویب شده برای سال آینده بسیار شفاف و منطقی نوشته شده است.,1403/08/14
